LStatus,AIncome,ANumberChildren,GCollateralAmount,GGuarantorNumber,Age,AGender_M,GCollateralType_PER,GCollateralType_REA,GCollateralType_SAV,AMaritalStatus_MAR,AMaritalStatus_SEP,AMaritalStatus_SIN,AMaritalStatus_UNR,AMaritalStatus_WID,AOccupation_MER,AOccupation_OTH,AOccupation_OWN,AOccupation_PRV,AOccupation_SLF,AOccupation_UNI,AEducation_HIGHER,AEducation_LOWER,AHousing_OTH,AHousing_OWN,AHousing_REN,AHousing_WEL
0,46600.0,3,0.0,2,45.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,41200.0,0,0.0,2,38.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,38000.0,0,0.0,2,29.58333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36900.0,0,0.0,2,35.08333333,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,42700.0,5,0.0,2,40.08333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47500.0,0,0.0,2,48.33333333,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,39200.0,0,0.0,2,34.66666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30338.6366810587,2,0.0,2,30.08333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,32125.6430022851,0,0.0,2,34.33333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,51500.0,0,0.0,2,50.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,42700.0,0,0.0,2,40.33333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,30408.7153617241,0,0.0,2,30.25,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,29673.9643432411,0,0.0,4,34.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,46800.0,0,0.0,3,48.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,43500.0,0,0.0,2,38.91666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,40000.0,0,0.0,2,39.58333333,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,44800.0,0,0.0,2,45.58333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,41300.0,0,0.0,2,43.58333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,43800.0,0,0.0,2,44.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40600.0,0,0.0,2,38.91666667,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,23100.0,0,0.0,2,26.83333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,29078.2955680974,0,0.0,3,33.33333333,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,38500.0,0,0.0,2,38.41666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,44600.0,0,0.0,2,43.41666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,36100.0,0,0.0,2,30.66666667,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,35175.1406640463,0,0.0,2,47.83333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,23200.0,0,0.0,2,21.66666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,36900.0,0,0.0,2,30.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,29744.0430239064,0,0.0,2,34.91666667,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,23472.0012283965,0,0.0,2,20.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,43200.0,0,0.0,2,37.91666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,47700.0,0,0.0,2,48.91666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,27220.1354566236,1,0.0,2,22.66666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29007.14177785,0,0.0,2,26.91666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,40500.0,0,0.0,2,36.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48200.0,1,0.0,2,48.66666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,39500.0,0,0.0,2,39.33333333,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,35700.0,0,0.0,2,27.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,35800.0,0,0.0,2,35.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,38362.6454595648,0,0.0,2,49.16666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
